id,date_utc,url,user,content_raw,content_clean,sent_compound,sent_pos,sent_neg,sent_neu
1973724910053937478,2025-10-02 12:21:03+00:00,https://x.com/trump_repost/status/1973724910053937478,trump_repost,Best thing that could happen to the Republican Party? A Communist Mayor in NYC. The Dems have gone stone cold CRAZY! President DJT https://t.co/9VbDvGHlwV,Best thing that could happen to the Republican Party A Communist Mayor in NYC The Dems have gone stone cold CRAZY President DJT,0.5813,0.238,0.108,0.654
1973916220723536309,2025-10-03 01:01:15+00:00,https://x.com/trump_repost/status/1973916220723536309,trump_repost,» Government Shutdown Clock https://t.co/3cBUDyZbK8,Government Shutdown Clock,0.0,0.0,0.0,1.0
1973939502822666333,2025-10-03 02:33:46+00:00,https://x.com/trump_repost/status/1973939502822666333,trump_repost,"WOW!!! Such an! honor. Record ""stuff"" for a Republican. President DJT",WOW Such an honor Record stuff for a Republican President DJT,0.8286,0.492,0.0,0.508
1973939585798582720,2025-10-03 02:34:05+00:00,https://x.com/trump_repost/status/1973939585798582720,trump_repost,https://t.co/kOUU5I8bLO,,0.0,0.0,0.0,0.0
1973941434450682103,2025-10-03 02:41:26+00:00,https://x.com/trump_repost/status/1973941434450682103,trump_repost,https://t.co/C3pKxSfMe4,,0.0,0.0,0.0,0.0
1973941506521379138,2025-10-03 02:41:43+00:00,https://x.com/trump_repost/status/1973941506521379138,trump_repost,https://t.co/vOlObO0Uh6,,0.0,0.0,0.0,0.0
1973941700067537004,2025-10-03 02:42:30+00:00,https://x.com/trump_repost/status/1973941700067537004,trump_repost,https://t.co/1d4EF3BwJr,,0.0,0.0,0.0,0.0
1973942755362783549,2025-10-03 02:46:41+00:00,https://x.com/trump_repost/status/1973942755362783549,trump_repost,https://t.co/ybxn9t8hH8,,0.0,0.0,0.0,0.0
1973943112918766050,2025-10-03 02:48:06+00:00,https://x.com/trump_repost/status/1973943112918766050,trump_repost,RT @JulieOnX24: @WarlordDilley @itsreallyleah @BrandieWithABee @Shovelmouth365 All eyes are on Russ Vought today. 😅No pressure. https://t.c…,RT All eyes are on Russ Vought today No pressure,-0.5267,0.0,0.355,0.645
1973943209471717632,2025-10-03 02:48:29+00:00,https://x.com/trump_repost/status/1973943209471717632,trump_repost,https://t.co/C5xEknh4Ah,,0.0,0.0,0.0,0.0
1973947906987340111,2025-10-03 03:07:09+00:00,https://x.com/trump_repost/status/1973947906987340111,trump_repost,https://t.co/QbYpr7DjNh,,0.0,0.0,0.0,0.0
1973953994063294831,2025-10-03 03:31:21+00:00,https://x.com/trump_repost/status/1973953994063294831,trump_repost,https://t.co/ctsrhBUuBo,,0.0,0.0,0.0,0.0
1973956359466143959,2025-10-03 03:40:45+00:00,https://x.com/trump_repost/status/1973956359466143959,trump_repost,"» FBI had three informants reporting Biden corruption in Ukraine, but no record of real investigation https://t.co/f9cRfIJj3H",FBI had three informants reporting Biden corruption in Ukraine but no record of real investigation,-0.4215,0.0,0.167,0.833
1973956386364309947,2025-10-03 03:40:51+00:00,https://x.com/trump_repost/status/1973956386364309947,trump_repost,"» FBI Bombshell: 274 agents sent to Capitol for J6, many later complained they were political 'pawns' https://t.co/iBMpB1ZGzX",FBI Bombshell 274 agents sent to Capitol for J6 many later complained they were political 'pawns',-0.4019,0.0,0.153,0.847
1974114989666615756,2025-10-03 14:11:05+00:00,https://x.com/trump_repost/status/1974114989666615756,trump_repost,"Hamas has been a ruthless and violent threat, for many years, in the Middle East! They have killed (and made lives unbearably miserable), culminating with the October 7th MASSACRE, in Israel, babies, woman, children, old people, and many young men and women, boys and girls, getting ready to celebrate their future lives together. As retribution for the October 7th attack on civilization, more than 25,000 Hamas ""soldiers"" have already been killed. Most of the rest are surrounded and MILITARILY TRAPPED, just waiting for me to give the word, ""GO,"" for their lives to be quickly extinguished. As for the rest, we know where and who you are, and you will be hunted down, and killed. I am asking that all innocent Palestinians immediately leave this area of potentially great future death for safer parts of Gaza. Everyone will be well cared for by those that are waiting to help. Fortunately for Hamas, however, they will be given one last chance! Great, powerful, and very rich Nations of the Middle East, and the surrounding areas beyond, together with the United States of America, have agreed, with Israel signing on, to PEACE, after 3000 years, in the Middle East. THIS DEAL ALSO SPARES THE LIVES OF ALL REMAINING HAMAS FIGHTERS! The details of the document are known to the WORLD, and it is a great one for ALL! We will have PEACE in the Middle East one way or the other. The violence and bloodshed will stop. RELEASES THE HOSTAGES, ALL OF THEM, INCLUDING THE BODIES OF THOSE THAT ARE DEAD, NOW! An Agreement must be reached with Hamas by Sunday Evening at SIX (6) P.M., Washington, D.C. time. Every Country has signed on! If this LAST CHANCE agreement is not reached, all HELL, like no one has ever seen before, will break out against Hamas. THERE WILL BE PEACE IN THE MIDDLE EAST ONE WAY OR THE OTHER. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",Hamas has been a ruthless and violent threat for many years in the Middle East They have killed and made lives unbearably miserable culminating with the October 7th MASSACRE in Israel babies woman children old people and many young men and women boys and girls getting ready to celebrate their future lives together As retribution for the October 7th attack on civilization more than 25 000 Hamas soldiers have already been killed Most of the rest are surrounded and MILITARILY TRAPPED just waiting for me to give the word GO for their lives to be quickly extinguished As for the rest we know where and who you are and you will be hunted down and killed I am asking that all innocent Palestinians immediately leave this area of potentially great future death for safer parts of Gaza Everyone will be well cared for by those that are waiting to help Fortunately for Hamas however they will be given one last chance Great powerful and very rich Nations of the Middle East and the surrounding areas beyond together with the United States of America have agreed with Israel signing on to PEACE after 3000 years in the Middle East THIS DEAL ALSO SPARES THE LIVES OF ALL REMAINING HAMAS FIGHTERS The details of the document are known to the WORLD and it is a great one for ALL We will have PEACE in the Middle East one way or the other The violence and bloodshed will stop RELEASES THE HOSTAGES ALL OF THEM INCLUDING THE BODIES OF THOSE THAT ARE DEAD NOW An Agreement must be reached with Hamas by Sunday Evening at SIX 6 P M Washington D C time Every Country has signed on If this LAST CHANCE agreement is not reached all HELL like no one has ever seen before will break out against Hamas THERE WILL BE PEACE IN THE MIDDLE EAST ONE WAY OR THE OTHER Thank you for your attention to this matter PRESIDENT DONALD J TRUMP,0.9721,0.194,0.126,0.681
1974133843503558856,2025-10-03 15:26:00+00:00,https://x.com/trump_repost/status/1974133843503558856,trump_repost,https://t.co/Cl74ZSGyCK,,0.0,0.0,0.0,0.0
1974134089415602542,2025-10-03 15:26:59+00:00,https://x.com/trump_repost/status/1974134089415602542,trump_repost,https://t.co/yFRy4X9HJV,,0.0,0.0,0.0,0.0
1974140145466302750,2025-10-03 15:51:03+00:00,https://x.com/trump_repost/status/1974140145466302750,trump_repost,Congratulations to Idaho on breaking ground for your new Veterans Home today. Glad to have worked with your GREAT Senator Jim Risch to have made this happen. Veterans are a priority for us!,Congratulations to Idaho on breaking ground for your new Veterans Home today Glad to have worked with your GREAT Senator Jim Risch to have made this happen Veterans are a priority for us,0.9141,0.288,0.0,0.712
1974154038725030222,2025-10-03 16:46:15+00:00,https://x.com/trump_repost/status/1974154038725030222,trump_repost,I am pleased to advise that I reversed the cuts made to Homeland Security and Counterterrorism for New York City and State. It was my Honor to do so. Thank you for your attention to this matter! President DJT,I am pleased to advise that I reversed the cuts made to Homeland Security and Counterterrorism for New York City and State It was my Honor to do so Thank you for your attention to this matter President DJT,0.8647,0.279,0.048,0.673
1974161831095906702,2025-10-03 17:17:13+00:00,https://x.com/trump_repost/status/1974161831095906702,trump_repost,"A boat loaded with enough drugs to kill 25 TO 50 THOUSAND PEOPLE was stopped, early this morning off the Coast of Venezuela, from entering American Territory. https://t.co/yrgtRscbJ5",A boat loaded with enough drugs to kill 25 TO 50 THOUSAND PEOPLE was stopped early this morning off the Coast of Venezuela from entering American Territory,-0.765,0.0,0.216,0.784
1974175465410834764,2025-10-03 18:11:24+00:00,https://x.com/trump_repost/status/1974175465410834764,trump_repost,"It is my Great Honor to endorse America First Patriot Matt Van Epps, who is running to represent the Great People of Tennessee's 7th Congressional District.
 
A West Point Graduate, and Combat Decorated Army Helicopter Pilot, Matt knows the WISDOM and COURAGE required to Defend our Country, Support our Incredible Military/Veterans, and Ensure PEACE THROUGH STRENGTH. In Congress, Matt will work hard to Keep our now very Secure Border, SECURE, Stop Migrant Crime, Grow our Economy, Cut Taxes, Promote MADE IN THE U.S.A., Champion School Choice, Unleash American Energy DOMINANCE, and Defend our always under siege Second Amendment. He is strongly supported by my good friend, Congressman Jim Jordan, and many other highly respected MAGA Warriors!
 
Matt Van Epps has my Complete and Total Endorsement to be the next Congressman from Tennessee's 7th Congressional District — HE WILL NEVER LET YOU DOWN!",It is my Great Honor to endorse America First Patriot Matt Van Epps who is running to represent the Great People of Tennessee's 7th Congressional District A West Point Graduate and Combat Decorated Army Helicopter Pilot Matt knows the WISDOM and COURAGE required to Defend our Country Support our Incredible Military Veterans and Ensure PEACE THROUGH STRENGTH In Congress Matt will work hard to Keep our now very Secure Border SECURE Stop Migrant Crime Grow our Economy Cut Taxes Promote MADE IN THE U S A Champion School Choice Unleash American Energy DOMINANCE and Defend our always under siege Second Amendment He is strongly supported by my good friend Congressman Jim Jordan and many other highly respected MAGA Warriors Matt Van Epps has my Complete and Total Endorsement to be the next Congressman from Tennessee's 7th Congressional District HE WILL NEVER LET YOU DOWN,0.9954,0.355,0.06,0.585
1974214678797513147,2025-10-03 20:47:13+00:00,https://x.com/trump_repost/status/1974214678797513147,trump_repost,https://t.co/lFjinY8eMD,,0.0,0.0,0.0,0.0
1974221876055687361,2025-10-03 21:15:49+00:00,https://x.com/trump_repost/status/1974221876055687361,trump_repost,"Based on the Statement just issued by Hamas, I believe they are ready for a lasting PEACE. Israel must immediately stop the bombing of Gaza, so that we can get the Hostages out safely and quickly! Right now, it's far too dangerous to do that. We are already in discussions on details to be worked out. This is not about Gaza alone, this is about long sought PEACE in the Middle East.",Based on the Statement just issued by Hamas I believe they are ready for a lasting PEACE Israel must immediately stop the bombing of Gaza so that we can get the Hostages out safely and quickly Right now it's far too dangerous to do that We are already in discussions on details to be worked out This is not about Gaza alone this is about long sought PEACE in the Middle East,0.8911,0.189,0.063,0.748
